step category,step,state
0,1,0
1,2,1
1,3,2
1,4,3
1,5,4
1,6,5
1,7,6
1,8,7
1,9,8
1,10,9
1,11,10
0,12,10
1,13,11
1,14,12
1,15,13
1,16,14
1,17,15
1,18,16
1,19,17
0,20,17
1,21,18
1,22,19
0,23,19
1,24,20
1,25,21
0,26,21
0,27,21
1,28,22
1,29,23
1,30,24
1,31,25
1,32,26
1,33,27
0,34,27
1,35,28
1,36,29
1,37,30
1,38,31
0,39,31
1,40,32
1,41,33
1,42,34
1,43,35
1,44,36
1,45,37
0,46,37
0,47,37
1,48,38
0,49,38
1,50,39
1,51,40
1,52,41
0,53,41
1,54,42
1,55,43
1,56,44
1,57,45
1,58,46
1,59,47
1,60,48
1,61,49
1,62,50
0,63,50
1,64,51
0,65,51
1,66,52
1,67,53
0,68,53
0,69,53
1,70,54
1,71,55
1,72,56
1,73,57
1,74,58
1,75,59
0,76,59
0,77,59
1,78,60
0,79,60
1,80,61
0,81,61
1,82,62
1,83,63
0,84,63
1,85,64
1,86,65
1,87,66
0,88,66
1,89,67
1,90,68
1,91,69
1,92,70
0,93,70
0,94,70
0,95,70
0,96,70
1,97,71
1,98,72
0,99,72
0,100,72
1,101,73
0,102,73
1,103,74
1,104,75
1,105,76
0,106,76
0,107,76
1,108,77
0,109,77
1,110,78
1,111,79
1,112,80
1,113,81
0,114,81
1,115,82
1,116,83
0,117,83
0,118,83
0,119,83
1,120,84
1,121,85
1,122,86
1,123,87
1,124,88
0,125,88
1,126,89
1,127,90
0,128,90
0,129,90
1,130,91
0,131,91
1,132,92
1,133,93
1,134,94
0,135,94
0,136,94
0,137,94
0,138,94
0,139,94
0,140,94
0,141,94
1,142,95
1,143,96
0,144,96
0,145,96
1,146,97
0,147,97
0,148,97
1,149,98
1,150,99
1,151,100
0,152,100
1,153,101
0,154,101
0,155,101
1,156,102
1,157,103
0,158,103
0,159,103
0,160,103
0,161,103
0,162,103
0,163,103
0,164,103
0,165,103
1,166,104
0,167,104
1,168,105
1,169,106
0,170,106
1,171,107
0,172,107
1,173,108
0,174,108
0,175,108
1,176,109
1,177,110
0,178,110
0,179,110
0,180,110
1,181,111
1,182,112
1,183,113
0,184,113
0,185,113
1,186,114
0,187,114
0,188,114
1,189,115
1,190,116
1,191,117
0,192,117
0,193,117
1,194,118
0,195,118
0,196,118
1,197,119
0,198,119
1,199,120
1,200,121
0,201,121
1,202,122
1,203,123
0,204,123
1,205,124
1,206,125
0,207,125
1,208,126
0,209,126
0,210,126
1,211,127
0,212,127
0,213,127
1,214,128
1,215,129
0,216,129
0,217,129
0,218,129
0,219,129
1,220,130
